"","Assessment","Bedrooms","LvngArea"
"1",879550,NA,0
"2",393470,NA,0
"3",145670,3,1475
"4",142030,3,1792
"5",115010,3,864
"6",105280,3,1040
"7",129290,5,1512
"8",95060,3,1080
"9",95970,2,1040
"10",93520,1,985
"11",41510,NA,0
"12",148190,NA,0
"13",44310,NA,0
"14",38990,NA,0
"15",41930,NA,0
"16",1890,NA,0
"17",44380,NA,0
"18",42490,NA,0
"19",49140,NA,0
"20",1863260,NA,0
"21",251580,NA,0
"22",578690,NA,0
"23",129570,2,1484
"24",174930,3,2124
"25",90720,2,998
"26",90230,2,886
"27",119140,4,1680
"28",42070,NA,0
"29",118370,3,1170
"30",106050,3,1144
"31",115920,2,1264
"32",121170,2,1515
"33",142380,3,1480
"34",128380,3,1286
"35",116830,3,1330
"36",106260,3,1128
"37",131670,3,1411
"38",128100,3,1773
"39",192640,5,2906
"40",112070,3,1112
"41",115640,1,1202
"42",137270,3,1467
"43",2314620,NA,0
"44",4184810,NA,0
"45",44170,NA,0
"46",264950,0,2784
"47",126210,2,2062
"48",132860,3,1606
"49",123340,2,1353
"50",108850,3,1104
"51",111860,3,1267
"52",2077250,NA,2472
"53",122780,2,1629
"54",120330,3,1461
"55",120750,3,1338
"56",102830,3,1081
"57",120820,4,1894
"58",122290,3,1942
"59",3850,NA,0
"60",1890,NA,0
"61",1890,NA,0
"62",1890,NA,0
"63",1890,NA,0
"64",2310,NA,0
"65",1260,NA,0
"66",1260,NA,0
"67",4060,NA,0
"68",4060,NA,0
"69",1121330,0,12236
"70",280070,NA,0
"71",606060,NA,0
"72",900550,NA,0
"73",560,NA,0
"74",430,NA,0
"75",240,NA,0
"76",290,NA,0
"77",179130,4,1611
"78",190960,3,1828
"79",198730,3,2038
"80",215460,3,2025
"81",229250,3,2312
"82",191310,3,1828
"83",93660,3,1040
"84",90440,3,1040
"85",90720,3,1040
"86",92750,3,988
"87",100520,4,1536
"88",100100,3,1434
"89",111090,3,1352
"90",2520,NA,0
"91",44450,NA,0
"92",104720,3,1624
"93",118020,3,1274
"94",102410,3,1040
"95",105350,3,1040
"96",109690,3,1560
"97",186480,3,2880
"98",208250,4,2916
"99",159320,3,1632
"100",133280,3,1404
